scene,timestamp,inst_token,ann_token,distance,throttle,ego_speed,brake,future_throttle,future_brake
scene-0001,1531883541048503,6efa17d08f464d72bbf5613e7149a5b0,7fbfb86f776a4b8c8ae8197518258016,10.749,164,16.69,0,180,0
scene-0001,1531883541048503,c8ac146d6cef45bfadbec2f08737c79f,42509d7eed8e467fb895ef6cbb5f71e0,36.519,120,15.12,0,127,0
scene-0001,1531883541548949,c8ac146d6cef45bfadbec2f08737c79f,0428f34ea7d64ca9a89b8a34fb9f9b73,34.242,127,15.85,0,164,0
scene-0001,1531883541548949,6efa17d08f464d72bbf5613e7149a5b0,e47a6e3d39794d14836f97c5562a1f55,8.67,180,17.77,0,180,0
scene-0001,1531883541548949,05a6f4ee377442c1951b8c0743fcca83,270f276a561d48e98d548be2df1a3b76,62.299,1,15.18,0,57,0
scene-0001,1531883542049384,05a6f4ee377442c1951b8c0743fcca83,f1a6af79798f416dbc45de5c10ec3b60,60.07,57,14.53,0,107,0
scene-0001,1531883542049384,c8ac146d6cef45bfadbec2f08737c79f,f8e0a86281ee406eadbf489d06d351b5,31.867,164,16.69,0,180,0
scene-0001,1531883542049384,6efa17d08f464d72bbf5613e7149a5b0,313c2253642c46a3a082b687a10ff225,6.694,180,18.9,0,180,0
scene-0001,1531883542549247,b3bd430657754a16b32c7674507dba80,026199a5e8254311a2679eda63ee6f35,17.615,192,18.42,0,175,0
scene-0001,1531883542549247,05a6f4ee377442c1951b8c0743fcca83,de4b1581f6914e08bf562c4729d8a1af,57.648,107,14.53,0,120,0
scene-0001,1531883542549247,c8ac146d6cef45bfadbec2f08737c79f,29335140a61a4e1eb2c8bab5269ddc43,29.295,180,17.77,0,180,0
scene-0001,1531883543048563,b3bd430657754a16b32c7674507dba80,0487637e7d744b4385918e0a23d03e54,14.968,175,19.61,0,140,0
scene-0001,1531883543048563,05a6f4ee377442c1951b8c0743fcca83,100d458eeb9a4074ab5d74001852122b,55.042,120,15.12,0,127,0
scene-0001,1531883543048563,c8ac146d6cef45bfadbec2f08737c79f,82dbb1e845dd49fbb4ac4f1191d06f19,26.536,180,18.9,0,180,0
scene-0001,1531883543548442,c8ac146d6cef45bfadbec2f08737c79f,905cc24da6ff4673bb2fadda25eb4713,23.663,180,19.96,0,159,0
scene-0001,1531883543548442,b3bd430657754a16b32c7674507dba80,fc1304b9e0f243e4a2b43aac4cce6a91,12.245,140,20.42,0,42,0
scene-0001,1531883543548442,05a6f4ee377442c1951b8c0743fcca83,3f2ce59839324aaea421caa359ee2aee,52.311,127,15.85,0,164,0
scene-0001,1531883544049671,c8ac146d6cef45bfadbec2f08737c79f,ad9f3cbc430243628f385f8499dc4044,20.641,159,20.94,0,130,0
scene-0001,1531883544049671,b3bd430657754a16b32c7674507dba80,22385d00a3dc456789bb3ed81df3a969,9.485,42,21.13,0,0,0
scene-0001,1531883544049671,05a6f4ee377442c1951b8c0743fcca83,3e784cf7a9dd41d791fab0a22f4f88f0,49.442,164,16.69,0,180,0
scene-0001,1531883544549301,c8ac146d6cef45bfadbec2f08737c79f,faf6368e5a7a4130b9168e0f0fb0d62d,17.592,130,21.84,0,102,0
scene-0001,1531883544549301,05a6f4ee377442c1951b8c0743fcca83,29911ed3f03c4de795bb416bf8f7deeb,46.546,180,17.77,0,180,0
scene-0001,1531883544549301,b3bd430657754a16b32c7674507dba80,4278f00153e841289edea6f8cd39c409,6.954,0,21.0,0,0,0
scene-0001,1531883545049175,05a6f4ee377442c1951b8c0743fcca83,f754d97f2a4f4afa84097c56f5ffaeb2,43.615,180,18.9,0,180,0
scene-0001,1531883545049175,c8ac146d6cef45bfadbec2f08737c79f,448ee4897ff3410c9975076832e927c0,14.509,102,22.38,0,63,0
scene-0001,1531883545549635,05a6f4ee377442c1951b8c0743fcca83,9dfb7aef74484c459d1fee9210c09d1d,40.694,180,19.96,0,159,0
scene-0001,1531883545549635,c8ac146d6cef45bfadbec2f08737c79f,1a7e50156528491282987877d9a64f92,11.446,63,22.68,0,55,0
scene-0001,1531883546049478,c8ac146d6cef45bfadbec2f08737c79f,aa57075787c54f5091f8fbc644e62961,8.559,55,22.62,0,115,0
scene-0001,1531883546049478,05a6f4ee377442c1951b8c0743fcca83,b3a1a43472b14e0ca1e149c7e7a0460f,37.856,159,20.94,0,130,0
scene-0001,1531883546548810,05a6f4ee377442c1951b8c0743fcca83,6cf8a222a07b4743abf78b10acec5952,35.072,130,21.84,0,102,0
scene-0001,1531883547049256,05a6f4ee377442c1951b8c0743fcca83,8fc5734dbab34e52bbf60b8cb3b9dab7,32.262,102,22.38,0,63,0
scene-0001,1531883547549125,05a6f4ee377442c1951b8c0743fcca83,fc56165aae4a44b195f06c7ec1ad4152,29.531,63,22.68,0,55,0
scene-0001,1531883547949456,05a6f4ee377442c1951b8c0743fcca83,6921574d3da44b09ada39dad88e776d0,27.441,55,22.62,0,115,0
scene-0001,1531883548449322,05a6f4ee377442c1951b8c0743fcca83,e8ec46e000884f42a325310c37828a5f,24.941,115,22.57,0,76,0
scene-0001,1531883548949210,05a6f4ee377442c1951b8c0743fcca83,6b26caff0d654352a131643a11fad7db,22.575,76,22.9,0,53,0
scene-0002,1531883719448979,851b5160ef414c73b9bd6cf28938af38,eb0ba3b50c2845c6ae16e2ab125cda37,29.48,105,9.97,0,35,0
scene-0002,1531883719448979,f81272dbd16345f8b460bf0e69de5a80,685c8990522145dbb179f3a7394d8a46,25.217,105,9.97,0,35,0
scene-0002,1531883719448979,1a5cf8258ca04341a5e975296177a8dc,1c7a62c87ef54c049de42ab074b4a8ba,46.937,105,9.97,0,35,0
scene-0002,1531883719448979,05b26e271616424ca316e582960c9e7d,1a032f71436e409185eb7e0657e3493f,35.859,105,9.97,0,35,0
scene-0002,1531883719448979,c5422cd72cea4cc8b8103159b5b06aab,905252ead2a04d369a9a52b9cfa2c385,39.084,105,9.97,0,35,0
scene-0002,1531883719448979,1f7d2a48fd9c443b987fb47508c343a2,e6fa565297ad40a3a0eee0f44229d681,30.025,105,9.97,0,35,0
scene-0002,1531883719948855,1a5cf8258ca04341a5e975296177a8dc,83b359f124be4fae8a2f620d8b8d8b65,45.828,35,11.11,0,3,0
scene-0002,1531883719948855,f81272dbd16345f8b460bf0e69de5a80,3222b01160a04fcf8f0ad6c79f055e5d,23.934,35,11.11,0,3,0
scene-0002,1531883719948855,851b5160ef414c73b9bd6cf28938af38,4ee9915bb2c64b0584ee3bd1800dac27,28.404,35,11.11,0,3,0
scene-0002,1531883719948855,05b26e271616424ca316e582960c9e7d,8a1c62f8cc6146b28643c61f89b5e3a8,34.627,35,11.11,0,3,0
scene-0002,1531883719948855,1f7d2a48fd9c443b987fb47508c343a2,7a29d8fd3b5840aaa1e8fdf27204aa14,28.845,35,11.11,0,3,0
scene-0002,1531883720448731,f81272dbd16345f8b460bf0e69de5a80,624f830e48f44631849e5a74b6a2d5e3,22.514,3,11.59,0,0,0
scene-0002,1531883720448731,851b5160ef414c73b9bd6cf28938af38,ae0e98934c054fc4a69dcd787a699e7b,26.925,3,11.59,0,0,0
scene-0002,1531883720448731,05b26e271616424ca316e582960c9e7d,a640def4495b481ca1ca673bb0d76946,33.323,3,11.59,0,0,0
scene-0002,1531883720448731,1f7d2a48fd9c443b987fb47508c343a2,1aeec231ec0743b281bf47664696dd04,27.619,3,11.59,0,0,0
scene-0002,1531883724949268,df6a147ff2324d28bf85f2b37a98977d,bd345de93b7c4b5db36e66c8ecbc3a9a,34.862,250,17.28,0,260,0
scene-0002,1531883724949268,71f1c9def75f4e7aa38d6dbd3af975fb,876e1c0c23894caa9a2a7eedf1f650fe,27.111,250,17.28,0,260,0
scene-0002,1531883724949268,1f7d2a48fd9c443b987fb47508c343a2,128a8e3363224b0690d95aaba58f7386,13.605,250,17.28,0,260,0
scene-0002,1531883724949268,1ef7286ee82e46d99e98d6d6d7c1d7ac,f3e1527b7b844386b086d68815d22edb,21.556,250,17.28,0,260,0
scene-0002,1531883725449692,df6a147ff2324d28bf85f2b37a98977d,48563d6b5b634439b2a8e7997601d127,32.569,260,19.42,0,260,0
scene-0002,1531883725449692,1ef7286ee82e46d99e98d6d6d7c1d7ac,16579be3331442dfb1832121fc20781f,19.388,260,19.42,0,260,0
scene-0002,1531883725449692,71f1c9def75f4e7aa38d6dbd3af975fb,c61dd379b9e348e5a8f4cc3976d02929,24.862,260,19.42,0,260,0
scene-0002,1531883725900356,71f1c9def75f4e7aa38d6dbd3af975fb,121fade3163d4b21b13418566417dc54,22.65,260,21.49,0,247,0
scene-0002,1531883725900356,1ef7286ee82e46d99e98d6d6d7c1d7ac,3eabd8bcaecd49e48db8ac442229aef2,17.308,260,21.49,0,247,0
scene-0002,1531883725900356,df6a147ff2324d28bf85f2b37a98977d,43bed25a33744595b31774f3bc42bf6d,30.29,260,21.49,0,247,0
scene-0002,1531883726450574,71f1c9def75f4e7aa38d6dbd3af975fb,076cd49013074468862e650da4f9dfc0,19.744,247,23.33,0,208,0
scene-0002,1531883726450574,df6a147ff2324d28bf85f2b37a98977d,2ea0f71a88704d9cb88d088791e6fd42,27.251,247,23.33,0,208,0
scene-0002,1531883726450574,d3ddc3c284824cf78beb4830f6768682,52672c4ef27d4524a3c570d17bcfbe0b,20.155,250,17.28,0,260,0
scene-0002,1531883726949886,71f1c9def75f4e7aa38d6dbd3af975fb,ba1efb27e92246a691ae7ad69b2bca33,16.965,208,25.36,0,184,0
scene-0002,1531883726949886,df6a147ff2324d28bf85f2b37a98977d,8251742eb28b465cb0a404906d04cb3a,24.274,208,25.36,0,184,0
scene-0002,1531883726949886,d3ddc3c284824cf78beb4830f6768682,8d1ee08ab47640fa95b5e36ef504b811,14.161,260,19.42,0,260,0
scene-0002,1531883726949886,4c663ba19176469ca67944f0f0c6c825,a9d39c5dc86945cbb7cbccc96d71be9e,44.563,35,11.11,0,3,0
scene-0002,1531883727450310,df6a147ff2324d28bf85f2b37a98977d,5e0a3643d0a24a9997465e421a69338c,21.021,184,26.74,0,34,0
scene-0002,1531883727450310,4c663ba19176469ca67944f0f0c6c825,13087b06d5bb4589afa21d215b54301b,41.083,3,11.59,0,0,0
scene-0002,1531883727949629,aeb86dabbc994586bc2168ce67adb954,acc73aa914f849faa9f4e826c17c8c93,17.492,35,11.11,0,3,0
scene-0002,1531883727949629,df6a147ff2324d28bf85f2b37a98977d,6ec9513936534c4898d72b508cfedfd5,17.659,34,27.28,0,17,0
scene-0002,1531883728449504,aeb86dabbc994586bc2168ce67adb954,cb0ea0fdcca146eaba99a70f26e63059,14.073,3,11.59,0,0,0
scene-0002,1531883729398940,dad99cf97ef74819be95dd64a90092c6,aa327ad068554f289d9a1c9cdd14dd00,61.29,35,11.11,0,3,0
scene-0002,1531883729898838,dad99cf97ef74819be95dd64a90092c6,83edf8b486564976b387be0e1b0a259f,54.632,3,11.59,0,0,0
scene-0002,1531883730898577,d6a9eb9b38b04a7ca67b0594f75c9a0e,50036f9a039744c4889af2529c8feb0c,58.353,35,11.11,0,3,0
scene-0002,1531883731448780,d6a9eb9b38b04a7ca67b0594f75c9a0e,fdcf51416fb24d4b90d82dea1e943937,50.131,3,11.59,0,0,0
scene-0004,1531883985948699,1c98d685031c4290ac9e934c5c78a1dc,1d796d724ca74422979c39573383d6d2,39.601,63,15.14,0,102,0
scene-0004,1531883985948699,1fe6e3e869464c97915dbd080a31c53f,5858143b4bbe4d81a468f506dc66e14d,53.665,63,15.14,0,102,0
scene-0004,1531883985948699,f54238bdd48443fcb4a019271dbca2f8,1665b07e2ca4402d88980ee5e57975c7,25.641,63,15.14,0,102,0
scene-0004,1531883985948699,a326c569f4a84999a361a7f1a61af12d,ab01c4b115124c3bb91e51a7d9fe0a31,19.233,63,15.14,0,102,0
scene-0004,1531883985948699,acb7920a70b44a84b1a61ce6460483cb,f0515b9c2b4f438c91c2cbae4c90700b,26.821,63,15.14,0,102,0
scene-0004,1531883985948699,a65e08fbee8d4b16aa2d32d59a1538e6,8fed28db8d9c41b9829df9a016879eb9,32.429,63,15.14,0,102,0
scene-0004,1531883986448607,1fe6e3e869464c97915dbd080a31c53f,3900ca13153d4a0ba24df96f31c91e42,51.755,102,15.65,0,177,0
scene-0004,1531883986448607,f54238bdd48443fcb4a019271dbca2f8,385eb0160a904e819c71d4879eeb4b67,25.336,102,15.65,0,177,0
scene-0004,1531883986448607,acb7920a70b44a84b1a61ce6460483cb,fc17835dddfe4a91b051ebc0c2b1c84d,24.815,102,15.65,0,177,0
scene-0004,1531883986448607,a65e08fbee8d4b16aa2d32d59a1538e6,876e37c8dee4480da41a19634ea5dc0c,32.269,102,15.65,0,177,0
scene-0004,1531883986448607,33ae6abe79c54c169264744932ebb551,68b52f8c79394ef88fbf09a8937369b0,34.535,102,15.65,0,177,0
scene-0004,1531883986448607,a326c569f4a84999a361a7f1a61af12d,744d817d5e10450badf4164dfef5213d,18.882,102,15.65,0,177,0
scene-0004,1531883986448607,1c98d685031c4290ac9e934c5c78a1dc,80844548f6114370adbbaddc2cd75037,37.735,102,15.65,0,177,0
scene-0004,1531883986948473,a326c569f4a84999a361a7f1a61af12d,88a3803927f247508a391139b076e454,18.679,177,16.32,0,151,0
scene-0004,1531883986948473,a65e08fbee8d4b16aa2d32d59a1538e6,664d840a56f8461991b77b8fd5657cfc,32.112,177,16.32,0,151,0
scene-0004,1531883986948473,f54238bdd48443fcb4a019271dbca2f8,aaa9b5c40291478da4b202f16bdae3b1,24.867,177,16.32,0,151,0
scene-0004,1531883986948473,acb7920a70b44a84b1a61ce6460483cb,0f38b41dacd4483e9059474c67a05e44,22.795,177,16.32,0,151,0
scene-0004,1531883986948473,1c98d685031c4290ac9e934c5c78a1dc,4ae65371bd1e412496c9f430a1d5ab9b,35.866,177,16.32,0,151,0
scene-0004,1531883986948473,1fe6e3e869464c97915dbd080a31c53f,d7f4d2e8e19c4a44acd11926132d622b,49.826,177,16.32,0,151,0
scene-0004,1531883986948473,33ae6abe79c54c169264744932ebb551,c2ea41adb077490abbb26d5996fd202e,34.226,177,16.32,0,151,0
scene-0004,1531883987398588,acb7920a70b44a84b1a61ce6460483cb,5bd9558e05704dabbe4e28c04184bbf4,20.954,151,17.55,0,193,0
scene-0004,1531883987398588,ae03d500f9f5482f9fdaf390c796e501,4f5e81de95a543978fe24bec9f2dd019,49.503,102,15.65,0,177,0
scene-0004,1531883987398588,a326c569f4a84999a361a7f1a61af12d,80fa3b34a5f44e90b30f4ce59633a2ca,18.527,151,17.55,0,193,0
scene-0004,1531883987398588,a65e08fbee8d4b16aa2d32d59a1538e6,2ef8bcb44d7a4712ae821649183ce5e1,31.94,151,17.55,0,193,0
scene-0004,1531883987398588,1fe6e3e869464c97915dbd080a31c53f,5b5f753710c346e2aef5bdc55e93e62d,48.059,151,17.55,0,193,0
scene-0004,1531883987398588,33ae6abe79c54c169264744932ebb551,2acc7cf92e82467db577da73979c1fb7,33.822,151,17.55,0,193,0
scene-0004,1531883987398588,f54238bdd48443fcb4a019271dbca2f8,fd10982e039e4b2db86a0ae62c0f9291,24.358,151,17.55,0,193,0
scene-0004,1531883987398588,1c98d685031c4290ac9e934c5c78a1dc,9ee0efc77d604d74bfa16bb00ff8da44,34.17,151,17.55,0,193,0
scene-0004,1531883987898437,1fe6e3e869464c97915dbd080a31c53f,d97bdf85fb2748a9ab0d111c2e890def,45.948,193,18.57,0,197,0
scene-0004,1531883987898437,a65e08fbee8d4b16aa2d32d59a1538e6,2f6ffe4e0f3847d7a5b450b1cc26cd6f,31.863,193,18.57,0,197,0
scene-0004,1531883987898437,f54238bdd48443fcb4a019271dbca2f8,45530d6696f543e696331ceb894f5e8b,23.622,193,18.57,0,197,0
scene-0004,1531883987898437,acb7920a70b44a84b1a61ce6460483cb,f2d4099e11cc4d10bed1e181cb75b271,18.774,193,18.57,0,197,0
scene-0004,1531883987898437,a326c569f4a84999a361a7f1a61af12d,2faea209e3554ca19214725987f9593d,18.347,193,18.57,0,197,0
scene-0004,1531883987898437,ae03d500f9f5482f9fdaf390c796e501,8f042659208e41cfb98497381e476ad1,47.204,177,16.32,0,151,0
scene-0004,1531883987898437,33ae6abe79c54c169264744932ebb551,949c26bd9a21463bb511168303abfd11,32.842,193,18.57,0,197,0
scene-0004,1531883987898437,1c98d685031c4290ac9e934c5c78a1dc,6bafb83f88114c8298a74905340609ba,32.169,193,18.57,0,197,0
scene-0004,1531883988398318,f54238bdd48443fcb4a019271dbca2f8,ef28100b4b4c41ea92340ff8aaaaabfb,22.781,197,19.64,0,197,0
scene-0004,1531883988398318,1fe6e3e869464c97915dbd080a31c53f,bfbcd2a12e7b40fc985b5316e919265d,43.798,197,19.64,0,197,0
scene-0004,1531883988398318,acb7920a70b44a84b1a61ce6460483cb,af5b9884dddd4682a8b4610ef021b3d1,16.596,197,19.64,0,197,0
scene-0004,1531883988398318,33ae6abe79c54c169264744932ebb551,317ccb443a524b3eb998b896bd3715ea,31.973,197,19.64,0,197,0
scene-0004,1531883988398318,a65e08fbee8d4b16aa2d32d59a1538e6,3ad394cd07824b16b959cd183eee1e2f,31.421,197,19.64,0,197,0
scene-0004,1531883988398318,ae03d500f9f5482f9fdaf390c796e501,6eaa16a4df0f42db9ed863d198d977a9,44.838,151,17.55,0,193,0
scene-0004,1531883988398318,a326c569f4a84999a361a7f1a61af12d,d041d6d465054a2295aeab058b4eeb9b,18.201,197,19.64,0,197,0
scene-0004,1531883988898749,33ae6abe79c54c169264744932ebb551,4473e06cff644a7e8ddaee9120617a52,31.201,197,20.68,0,197,0
scene-0004,1531883988898749,a65e08fbee8d4b16aa2d32d59a1538e6,65d8c7f465fa481b84a789cba6f972b9,30.894,197,20.68,0,197,0
scene-0004,1531883988898749,f54238bdd48443fcb4a019271dbca2f8,68b8fd8e0d694927bf0a12853af3039c,21.946,197,20.68,0,197,0
scene-0004,1531883988898749,1fe6e3e869464c97915dbd080a31c53f,52d76ca964044b04b82ad0504c79a67d,41.506,197,20.68,0,197,0
scene-0004,1531883988898749,ae03d500f9f5482f9fdaf390c796e501,0269eb002786456fb8e8934112f250bb,42.292,193,18.57,0,197,0
scene-0004,1531883988898749,acb7920a70b44a84b1a61ce6460483cb,7b5745728cd54160b7f57f7ce50df98d,14.347,197,20.68,0,197,0
scene-0004,1531883988898749,a326c569f4a84999a361a7f1a61af12d,a9f4ad64058c4a4b917b929809421af8,18.085,197,20.68,0,197,0
scene-0004,1531883989399181,a65e08fbee8d4b16aa2d32d59a1538e6,de05ac03b777422ebf3fa51e0824dd30,30.205,197,21.76,0,197,0
scene-0004,1531883989399181,f54238bdd48443fcb4a019271dbca2f8,612ecdaebc3f4b5bb247b150a50f2357,21.08,197,21.76,0,197,0
scene-0004,1531883989399181,ae03d500f9f5482f9fdaf390c796e501,e8254d8e2375472ebc392d5341016f71,39.622,197,19.64,0,197,0
scene-0004,1531883989399181,a326c569f4a84999a361a7f1a61af12d,4eec73c0b69742d882c2a1232fa99eae,17.802,197,21.76,0,197,0
scene-0004,1531883989899603,ae03d500f9f5482f9fdaf390c796e501,9a05051b78ec4ace9053d24d442e3931,36.824,197,20.68,0,197,0
scene-0004,1531883989899603,f54238bdd48443fcb4a019271dbca2f8,80d95edadea14fb294472b2d1241aad2,20.307,197,22.79,0,190,0
scene-0004,1531883989899603,a65e08fbee8d4b16aa2d32d59a1538e6,c4c86fa5c35c4ec4a807795d5a7e5e7f,29.283,197,22.79,0,190,0
scene-0004,1531883989899603,a326c569f4a84999a361a7f1a61af12d,9ab4ec34cafc4523abc796c2ea6056d7,17.398,197,22.79,0,190,0
scene-0004,1531883990400032,f54238bdd48443fcb4a019271dbca2f8,dcb336b9f2aa4a01b7c1d9430876c930,19.484,190,23.55,0,190,0
scene-0004,1531883990400032,ae03d500f9f5482f9fdaf390c796e501,3ffeedc05f564b28a21ccd6cfba75bc4,33.934,197,21.76,0,197,0
scene-0004,1531883990400032,a65e08fbee8d4b16aa2d32d59a1538e6,a1794b51410f4b0d8daf68f7083f087a,28.216,190,23.55,0,190,0
scene-0004,1531883990400032,a326c569f4a84999a361a7f1a61af12d,d0bcde37de3a43c39f87bc869114b40e,16.861,190,23.55,0,190,0
scene-0004,1531883990899924,ae03d500f9f5482f9fdaf390c796e501,868a6b67e19542ea8fa79bc68e1fdb28,31.008,197,22.79,0,190,0
